final_event_id,company_id,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
FMR-0001,000660 KS,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
FMR-0001,005930 KS,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
FMR-0001,2353 TT,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
FMR-0001,2395 TT,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
FMR-0001,3443 TT,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
FMR-0001,3690 HK,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations
FMR-0001,4755 JP,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
FMR-0001,5803 JP,1,0,0,0,0,0,0,0,L,R1:power and industrial systems for data centers
FMR-0001,6588 JP,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and electronics
FMR-0001,6701 JP,0,0,0,0,1,0,0,0,H,R5:IT services and AI solutions for enterprise clients
FMR-0001,6702 JP,0,0,0,0,1,0,0,0,H,R5:IT services and AI consulting for enterprise clients
FMR-0001,6758 JP,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment
FMR-0001,6954 JP,0,0,0,1,0,0,0,0,M,R4:AI deployed in electronics and industrial solutions
FMR-0001,700 HK,0,0,0,0,0,1,0,0,M,R6:Hunyuan models compete in foundation models
FMR-0001,AAPL,0,0,0,0,0,1,0,0,M,R6:Apple Intelligence and on-device foundation models
FMR-0001,ACN,0,0,0,0,1,0,0,0,H,R5:IT consulting firm helping enterprises deploy GenAI
FMR-0001,ADBE,0,0,1,0,0,0,0,0,H,R3:Firefly generative AI integrated into Creative Cloud
FMR-0001,AI,0,0,1,0,0,0,0,0,H,R3:enterprise AI platform is the core product
FMR-0001,AMBA,1,0,0,0,0,0,0,0,L,R1:edge AI vision processors
FMR-0001,AMD,1,0,0,0,0,0,0,0,H,R1:MI accelerators and EPYC data-center CPUs
FMR-0001,AMP IM,0,0,0,1,0,0,0,0,L,R4:AI deployed in hearing solutions and fitting
FMR-0001,AMZN,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models
FMR-0001,APP,0,0,1,0,0,0,0,0,H,R3:AXON AI ad optimization is core to product
FMR-0001,AVGO,1,0,0,0,0,0,0,0,H,R1:custom AI accelerators and data-center networking
FMR-0001,BABA,0,1,0,0,0,1,0,0,H,R2:Alibaba Cloud infrastructure and AI services; R6:Qwen family competes in foundation models
FMR-0001,BIDU,0,0,0,0,0,1,0,0,H,R6:ERNIE models compete in foundation models
FMR-0001,CCC,0,0,1,0,0,0,0,0,H,R3:AI-powered insurance claims software
FMR-0001,CDNS,0,0,1,0,0,0,0,0,H,R3:AI-powered EDA automation tools
FMR-0001,CRM,0,0,1,0,0,0,0,0,H,R3:Einstein GPT and Agentforce integrated into CRM platform
FMR-0001,CRWV,0,0,0,1,0,0,0,0,L,R4:AI deployed in healthcare IT workflows
FMR-0001,CSCO,0,0,0,1,0,0,0,0,M,R4:AI assistants and optimization in networking products
FMR-0001,CYBR,0,0,1,0,0,0,0,0,M,R3:AI-based identity security and threat detection
FMR-0001,DDOG,0,0,1,0,0,0,0,0,M,R3:AI observability assistant and LLM monitoring features
FMR-0001,DXC,0,0,0,0,1,0,0,0,H,R5:IT outsourcing and managed AI services
FMR-0001,ERIC,0,0,0,1,0,0,0,0,M,R4:AI-powered telecom network optimization
FMR-0001,EXPN LN,0,0,1,0,0,0,0,0,M,R3:AI-enhanced data and credit analytics products
FMR-0001,FTNT,0,0,1,0,0,0,0,0,M,R3:FortiAI and AI security features
FMR-0001,G,0,0,0,0,1,0,0,0,H,R5:BPO and process services with AI automation
FMR-0001,GEHC,0,0,0,1,0,0,0,0,H,R4:AI diagnostics in medical imaging equipment
FMR-0001,GOOGL,0,1,0,0,0,1,0,0,H,R2:Google Cloud and Vertex AI infrastructure; R6:Gemini Imagen and Veo compete across model modalities
FMR-0001,HPE,1,0,0,0,1,0,0,0,M,R1:AI-optimized servers and HPC systems; R5:enterprise AI infrastructure and implementation services
FMR-0001,HUT,0,0,0,1,0,0,0,0,M,R4:crypto mining business transitioning toward AI and HPC hosting
FMR-0001,IBM,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI
FMR-0001,IFX GR,1,0,0,0,0,0,0,0,M,R1:power-management components for data centers
FMR-0001,INTC,1,0,0,0,0,0,0,0,H,R1:data-center CPUs and Gaudi AI accelerators
FMR-0001,META,0,0,0,0,0,0,0,1,H,F2:listed parent of Meta model releases
FMR-0001,MRVL,1,0,0,0,0,0,0,0,H,R1:custom AI silicon and data-center networking
FMR-0001,MSFT,0,1,1,0,0,1,0,0,H,R2:Azure cloud infrastructure for AI workloads; R6:Phi models and OpenAI partnership create model competition; R3:Microsoft Copilot integrates frontier LLM capability
FMR-0001,MU,1,0,0,0,0,0,0,0,H,R1:HBM and DRAM supplier for AI data centers
FMR-0001,NFLX,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming
FMR-0001,NICE,0,0,1,0,0,0,0,0,M,R3:CXone AI for contact-center software
FMR-0001,NOW,0,0,1,0,0,0,0,0,H,R3:Now Assist embeds GenAI across the platform
FMR-0001,NVDA,1,0,0,0,0,0,0,0,H,R1:GPU and AI accelerator supplier for LLM training and inference
FMR-0001,NXPI,1,0,0,0,0,0,0,0,L,R1:edge AI processors for auto and IoT
FMR-0001,OKTA,0,0,1,0,0,0,0,0,M,R3:AI-powered identity security features
FMR-0001,ORCL,0,1,0,0,0,0,0,0,H,R2:OCI GPU cloud infrastructure for AI workloads
FMR-0001,PATH,0,0,1,0,0,0,0,0,H,R3:AI-powered automation is central to RPA products
FMR-0001,PEGA,0,0,1,0,0,0,0,0,M,R3:GenAI Blueprint and process automation features
FMR-0001,PLTR,0,0,1,0,0,0,0,0,H,R3:AIP embeds LLMs in flagship analytics platform
FMR-0001,PONY,0,0,0,1,0,0,0,0,M,R4:autonomous driving AI within mobility business
FMR-0001,QCOM,1,0,0,0,0,0,0,0,M,R1:edge and on-device AI inference chips
FMR-0001,QUBT,0,0,1,0,0,0,0,0,L,R3:quantum-AI optimization with marginal LLM relevance
FMR-0001,SHOP,0,0,1,0,0,0,0,0,M,R3:Shopify Magic and AI commerce features
FMR-0001,SIE GR,0,0,0,1,0,0,0,0,H,R4:industrial AI and digital-twin deployment
FMR-0001,SMCI,1,0,0,0,0,0,0,0,H,R1:AI-optimized GPU server systems
FMR-0001,SNAP,0,0,0,1,0,0,0,0,H,R4:AI features in social media and AR products
FMR-0001,SNOW,0,0,1,0,0,0,0,0,H,R3:Cortex AI embeds LLMs in data cloud products
FMR-0001,SNPS,0,0,1,0,0,0,0,0,H,R3:AI-powered EDA tools
FMR-0001,SOUN,0,0,1,0,0,0,0,0,H,R3:voice AI platform powered by foundation-model capability
FMR-0001,STNE,0,0,0,1,0,0,0,0,L,R4:AI deployed in payments and financial services
FMR-0001,STX,1,0,0,0,0,0,0,0,M,R1:data-center storage for AI data pipelines
FMR-0001,TDC,0,0,1,0,0,0,0,0,M,R3:AI and ML analytics platform features
FMR-0001,TEMN SW,0,0,1,0,0,0,0,0,M,R3:GenAI banking software features
FMR-0001,TIETO FH,0,0,0,0,1,0,0,0,H,R5:IT services and consulting with AI practice
FMR-0001,TRI,0,0,1,0,0,0,0,0,M,R3:AI-powered professional information products
FMR-0001,TSLA,0,0,0,1,0,0,0,0,H,R4:AI deployed in autonomous driving within automotive business
FMR-0001,TSM,1,0,0,0,0,0,0,0,H,R1:advanced-node foundry for AI accelerators
