company_id,creator,upstream_hardware_a,upstream_cloud_a,downstream_integrator_a,downstream_deployer_a,downstream_enabler_a,competitor_a,is_investor_a,is_owner_a,confidence_a,justification_a,upstream_hardware_b,upstream_cloud_b,downstream_integrator_b,downstream_deployer_b,downstream_enabler_b,competitor_b,is_investor_b,is_owner_b,confidence_b,justification_b,_merge,creator_event_count
AMZN,Anthropic,0,1,0,0,0,1,1,0,H,AWS Bedrock hosts Anthropic; Titan/Nova competes; $4B investment,0,1,0,0,0,1,1,0,M,F1:Amazon equity investment in Anthropic; R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,8
AMZN,DeepSeek,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,Google,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,19
AMZN,Kuaishou,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,Meta,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,2
AMZN,Microsoft,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,Mistral AI,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,2
AMZN,OpenAI,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,13
AMZN,Runway,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,ShengShu Technology,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,Stability AI,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,Zhipu AI,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,1
AMZN,xAI,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes,0,1,0,0,0,1,0,0,M,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,both,2
CRM,Anthropic,0,0,1,0,0,0,1,0,H,Einstein GPT/Agentforce; Salesforce Ventures invested in Anthropic,0,0,1,0,0,0,1,0,M,F1:Salesforce Ventures investment in Anthropic; R3:Einstein GPT and Agentforce integrated into CRM platform,both,8
IBM,Alibaba,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,7
IBM,Anthropic,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,8
IBM,DeepSeek,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,Google,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,19
IBM,Kuaishou,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,Meta,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,2
IBM,Microsoft,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,Mistral AI,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,2
IBM,OpenAI,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,13
IBM,Runway,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,ShengShu Technology,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,Stability AI,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,Zhipu AI,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,1
IBM,xAI,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators,0,0,0,0,1,1,0,0,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,both,2
NFLX,Alibaba,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,7
NFLX,Anthropic,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,8
NFLX,DeepSeek,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,Google,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,19
NFLX,Kuaishou,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,Meta,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,2
NFLX,Microsoft,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,Mistral AI,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,2
NFLX,OpenAI,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,13
NFLX,Runway,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,ShengShu Technology,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,Stability AI,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,Zhipu AI,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,1
NFLX,xAI,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming,0,0,0,1,0,0,0,0,H,R4:AI recommendation and content operations in streaming,both,2
